participant_id,condition,block_index,trial_index,target_id,index_of_difficulty,movement_time_ms,is_successful,error_count,overshoot_count,mean_gaze_confidence,mean_head_confidence,mean_hand_confidence,effective_throughput,timestamp
P01,C2_HEURISTIC_RULES,1,7,7,3.6795,625.22,1,0,0,0.8342,0.8495,0.808,5.8851,1788754726.1881979
P01,C2_HEURISTIC_RULES,1,8,8,3.6795,741.35,1,0,0,0.8823,0.9026,0.8305,4.9632,1788754726.1881979
P01,C2_HEURISTIC_RULES,1,9,9,3.6795,630.93,1,0,0,0.8286,0.8709,0.8226,5.8319,1788754726.1881979
P01,C2_HEURISTIC_RULES,1,10,10,3.6795,750.0,1,0,0,0.8939,0.8505,0.8112,4.906,1788754726.1881979
P01,C2_HEURISTIC_RULES,1,11,11,3.6795,746.64,1,0,0,0.8324,0.9034,0.8058,4.9281,1788754726.1881979
P01,C2_HEURISTIC_RULES,1,12,12,3.6795,776.2,0,1,0,0.839,0.8841,0.8227,0.0,1788754726.1881979
P01,C2_HEURISTIC_RULES,1,13,13,3.6795,778.76,1,0,0,0.8963,0.9077,0.817,4.7248,1788754726.1881979
P01,C2_HEURISTIC_RULES,1,14,14,3.6795,753.53,0,1,0,0.8492,0.8466,0.8165,0.0,1788754726.1881979
P01,C2_HEURISTIC_RULES,1,15,15,3.6795,716.53,1,0,0,0.8696,0.902,0.8612,5.1351,1788754726.1881979
P01,C4_FULL_ADAPTIVE,2,0,0,3.6795,541.61,1,0,0,0.942,0.9451,0.8961,6.7935,1788754726.1881979
P01,C4_FULL_ADAPTIVE,2,1,1,3.6795,413.56,1,0,0,0.94,0.9472,0.921,8.897,1788754726.1881979
P01,C4_FULL_ADAPTIVE,2,2,2,3.6795,415.54,1,0,0,0.9546,0.9548,0.896,8.8547,1788754726.1881979
P01,C4_FULL_ADAPTIVE,2,3,3,3.6795,561.35,1,0,0,0.9058,0.9421,0.9066,6.5547,1788754726.1881979
P01,C4_FULL_ADAPTIVE,2,4,4,3.6795,520.74,1,0,0,0.9589,0.9573,0.8978,7.0658,1788754726.1881979
P01,C4_FULL_ADAPTIVE,2,5,5,3.6795,417.64,1,0,0,0.9566,0.9262,0.9069,8.8103,1788754726.1881979
P01,C4_FULL_ADAPTIVE,2,6,6,3.6795,517.03,1,0,0,0.9539,0.9435,0.9497,7.1165,1788754726.1881979
P01,C4_FULL_ADAPTIVE,2,7,7,3.6795,519.41,1,0,0,0.9507,0.9504,0.9387,7.0839,1788754726.1881979
P01,C4_FULL_ADAPTIVE,2,8,8,3.6795,411.05,1,0,0,0.9237,0.9539,0.8828,8.9514,1788754726.1881979
P01,C4_FULL_ADAPTIVE,2,9,9,3.6795,558.76,1,0,0,0.9118,0.9267,0.9456,6.5851,1788754726.1881979
P01,C4_FULL_ADAPTIVE,2,10,10,3.6795,572.79,1,0,0,0.9286,0.9384,0.9483,6.4238,1788754726.1881979
P01,C4_FULL_ADAPTIVE,2,11,11,3.6795,486.57,1,0,0,0.9287,0.9372,0.9017,7.5621,1788754726.1881979
P01,C4_FULL_ADAPTIVE,2,12,12,3.6795,521.98,1,0,0,0.9231,0.9599,0.8984,7.0491,1788754726.1881979
P01,C4_FULL_ADAPTIVE,2,13,13,3.6795,446.74,1,0,0,0.9488,0.946,0.9297,8.2363,1788754726.1881979
P01,C4_FULL_ADAPTIVE,2,14,14,3.6795,529.56,1,0,0,0.9555,0.9232,0.9107,6.9482,1788754726.1881979
P01,C4_FULL_ADAPTIVE,2,15,15,3.6795,436.08,1,0,0,0.9247,0.929,0.9358,8.4376,1788754726.1881979
P01,C3_MICRO_SGD_ONLY,3,0,0,3.6795,598.26,1,0,0,0.8807,0.8824,0.9079,6.1503,1788754726.1881979
P01,C3_MICRO_SGD_ONLY,3,1,1,3.6795,595.85,1,0,0,0.8907,0.9196,0.8566,6.1752,1788754726.1881979
P01,C3_MICRO_SGD_ONLY,3,2,2,3.6795,675.72,1,0,0,0.8956,0.8954,0.8836,5.4453,1788754726.1881979
P01,C3_MICRO_SGD_ONLY,3,3,3,3.6795,704.42,1,0,0,0.8971,0.9029,0.8762,5.2234,1788754726.1881979
P01,C3_MICRO_SGD_ONLY,3,4,4,3.6795,662.76,1,0,0,0.9224,0.8856,0.8651,5.5517,1788754726.1881979
P01,C3_MICRO_SGD_ONLY,3,5,5,3.6795,498.89,1,0,0,0.8872,0.9163,0.9177,7.3753,1788754726.1881979
P01,C3_MICRO_SGD_ONLY,3,6,6,3.6795,516.68,1,0,0,0.8829,0.9275,0.9143,7.1214,1788754726.1881979
P01,C3_MICRO_SGD_ONLY,3,7,7,3.6795,547.33,1,0,0,0.9069,0.8939,0.9119,6.7226,1788754726.1881979
P01,C3_MICRO_SGD_ONLY,3,8,8,3.6795,634.65,1,0,0,0.888,0.9162,0.8598,5.7976,1788754726.1881979
P01,C3_MICRO_SGD_ONLY,3,9,9,3.6795,563.54,1,0,0,0.8941,0.8879,0.9133,6.5293,1788754726.1881979
P01,C3_MICRO_SGD_ONLY,3,10,10,3.6795,596.54,1,0,0,0.929,0.9053,0.8692,6.1681,1788754726.1881979
P01,C3_MICRO_SGD_ONLY,3,11,11,3.6795,698.37,1,0,0,0.8904,0.9342,0.8831,5.2687,1788754726.1881979
P01,C3_MICRO_SGD_ONLY,3,12,12,3.6795,592.88,1,0,0,0.8908,0.9286,0.8442,6.2061,1788754726.1881979
P01,C3_MICRO_SGD_ONLY,3,13,13,3.6795,545.87,1,0,0,0.9223,0.8982,0.9162,6.7406,1788754726.1881979
P01,C3_MICRO_SGD_ONLY,3,14,14,3.6795,692.36,1,0,0,0.8893,0.8889,0.8895,5.3144,1788754726.1881979
P01,C3_MICRO_SGD_ONLY,3,15,15,3.6795,616.12,1,0,0,0.8648,0.8825,0.856,5.972,1788754726.1881979
